,spotify_song_id,weeks_on_chart,artists,name,peak_position
154,0WQcnrsEqrY2e5nexGe3HX,1,A$AP Mob,Walk On Water,190
155,0WTN7om3lHG3yYMigwzBxl,7,Lauv,There's No Way ,94
156,0WVAQaxrT0wsGEG4BCVSn2,11,Kygo,Born To Be Yours,49
157,0WdR2AyLW1Drd3OUdwezM0,4,Ariana Grande,everytime,16
158,0Ws8D3EWUDgY962Xftb0h5,1,Calvin Harris,Cash Out,94
159,0WyFpxYlBCgH1gMXd26OOr,2,Cole Swindell,Flatliner ,195
160,0XOnMqLQDO89iAg7dWWwnG,3,Ariana Grande,pete davidson,34
161,0XQHz5C8PknyrEhyrKxVKa,14,Fifth Harmony,Down,50
162,0XarUcoGDMFuooo2tk70Yk,1,Future,Damage,127
163,0Xcy81PsJCOO6mhLZaQyQ4,2,Mac Miller,Perfecto,159
164,0Y4hwUppbGc8aIBmiTz30A,8,Liam Payne,Familiar,57
165,0Y7di9ZCmB6Elad5WISaPc,4,Lil Wayne,Dedicate,5
166,0Y9D1Bc4fAkeZnVsGKdij6,1,Joji,WANTED U,199
167,0YAQnYt2oB8OdoaeqnHyTI,1,"Bas, J. Cole, J. Cole",Tribe ,86
168,0Z1nbG2KOuRKntstSAkSox,8,Tory Lanez,FeRRis WhEEL ,100
169,0ZNrc4kNeQYD9koZ3KvCsy,47,YG,BIG BANK ,24
170,0ZPCxNK4DIrF8KqrN3DxfA,2,Trippie Redd,Negative Energy,57
171,0Zbbxnx4SGGHoIow4PpISP,13,Kygo,Stargazing,51
172,0Zx8khUcEfCFK2AEoIhC92,13,Snakehips,Don't Leave,54
173,0aWMostcnfyjuCEcO7sTz5,1,Jaden,GHOST,139
174,0afhq8XCExXpqazXczTSve,24,Ed Sheeran,Galway Girl,7
175,0azC730Exh71aQlOt9Zj3y,6,Calvin Harris,This Is What You Came For,71
176,0b6UoVjUzFyZNpHI0aAhKt,2,DJ Khaled,Celebrate ,36
177,0b9oOr2ZgvyQu88wzixux9,21,Childish Gambino,This Is America,1
178,0bGLvHd0ApdT4t0shCfpzG,6,The Chainsmokers,Side Effects ,95
179,0bPnT6i9H1p8Vd85GS6Z7I,3,Jon Pardi,Night Shift,182
180,0bXFIF7iL17TYLyx8JHziM,27,Kodak Black,Patty Cake,139
181,0baYVkFX4vIXXmIuHRWXDN,1,Juice WRLD,Out My Way,105
182,0bhnUFDQFCEHCBlsQfHnj5,5,J. Cole,Photograph,6
183,0chpIFSjgfd1CPrAxM7PWp,8,Lil Skies,No Rest,105
184,0ct6r3EGTcMLPtrXHDvVjc,1,Avicii,The Nights,133
185,0d2iYfpKoM0QCKvcLCkBao,50,"benny blanco, Halsey, Khalid, Halsey, Khalid",Eastside ,10
186,0d9CyCAtOL3Txly9Jo02ra,1,Future,Scrape,128
187,0dIoGTQXDh1wVnhIiSyYEa,32,Cardi B,Bartier Cardi ,4
188,0dXNQ8dckG4eYfEtq9zcva,14,The Vamps,All Night,49
189,0dj1CtyRxZ4bnIT4Q20jNT,1,The Chainsmokers,Wake Up Alone,99
190,0e7ipj03S05BNilyu5bRzt,93,Post Malone,rockstar ,1
191,0eeeyCAGnGZInPtpkdYiPa,1,BTS,Jamais Vu,64
192,0evt4UZbdhnHtcAnxkm6A1,4,Eminem,Normal,11
193,0fTiDOXRNEN0lUeYGoSHml,12,The Chainsmokers,Somebody,70
194,0fWBFDRTIuk8ZgNdZqhCer,2,Big Sean,So Good (& Metro Boomin),65
195,0fcq51a3gOI6gPvzc0YLsk,10,Post Malone,Wow. - Remix,75
196,0frzpcv2zCUk13mn0X824T,1,Gucci Mane,Mall,193
197,0fv2KH6hac06J86hBUTcSf,3,"Tyler, The Creator",NEW MAGIC WAND,16
198,0g5EKLgdKvNlln7TNqBByK,1,DJ Snake,Middle,177
199,0gV5B7zmJkS1aaH9APokrH,1,Jay Rock,Wow Freestyle ,134
200,0hCHNYL8ApQCGNwJrYN1FY,3,Lil Skies,Bad Girls ,48
201,0hNduWmlWmEmuwEFcYvRu1,13,Petit Biscuit,Sunset Lover,63
202,0hPLZrnDgtKxrym1BHjDhd,9,21 Savage,can't leave without it,45
203,0hjLM1wMtk27Qd4ZihyHmi,1,Meek Mill,Wins & Losses,184
204,0i0wnv9UoFdZ5MfuFGQzMy,7,Bebe Rexha,Last Hurrah,63
205,0iIUmsrVL2sgGnX33oDsC7,1,NAV,To My Grave,161
206,0iVWDZhL04DiKgbI1mbC40,1,NAV,Taking Chances,186
207,0ibOcbkp2XG46Do8jcy0bL,13,Smokepurpp,Nephew ,82
208,0iwsQWgtjSq2kUXuZwTDAL,5,Madison Beer,Home With You,144
209,0jAfdqv18goRTUxm3ilRjb,22,A Boogie Wit da Hoodie,Startender ,17
