,spotify_song_id,weeks_on_chart,artists,name,peak_position
105,0bhnUFDQFCEHCBlsQfHnj5,2,J. Cole,Photograph,14
106,0c4ICGb0jvszKj3KPR59JU,11,Blake Shelton,Every Time I Hear That Song,56
107,0d2iYfpKoM0QCKvcLCkBao,49,"benny blanco, Halsey, Khalid",Eastside,9
108,0dIoGTQXDh1wVnhIiSyYEa,20,Cardi B,Bartier Cardi,14
109,0e7ipj03S05BNilyu5bRzt,40,Post Malone,Rockstar,1
110,0evt4UZbdhnHtcAnxkm6A1,1,Eminem,Normal,39
111,0fv2KH6hac06J86hBUTcSf,1,"Tyler, The Creator",New Magic Wand,70
112,0gu5B9dUOiLezdDjrLPCCV,1,The Carters,Friends,99
113,0hPLZrnDgtKxrym1BHjDhd,4,21 Savage,Can't Leave Without It,58
114,0hjLM1wMtk27Qd4ZihyHmi,1,Meek Mill,Wins & Losses,79
115,0i0wnv9UoFdZ5MfuFGQzMy,1,Bebe Rexha,Last Hurrah,98
116,0iQ77tSa7ncj7zBPtVx6cU,8,WALK THE MOON,One Foot,65
117,0ileL1L3Vtpf5VZ5RQZ94m,1,Lin,Found / Tonight,49
118,0j8zLbIueSkVqB3Tl6PsjA,1,Nicki Minaj,Regret In Your Tears,61
119,0jAfdqv18goRTUxm3ilRjb,9,A Boogie Wit da Hoodie,Startender,59
120,0jOfl1nZf6sVBTG08Q4brn,1,Migos,Call Casting,62
121,0jdny0dhgjUwoIp5GkqEaA,21,Kesha,Praying,22
122,0jqBo5RYn008f4ZY8kPewW,1,Logic,Indica Badu,56
123,0jqLv5PuEUA0GthFjdtlS1,1,Meek Mill,Oodles O' Noodles Babies,85
124,0k664IuFwVP557Gnx7RhIl,2,Lizzo,Juice,93
125,0kCBorRrKZkSztd9m0QI3r,4,Young Thug,Chanel,78
126,0lYBSQXN6rCTvUZvg9S0lU,14,DJ Snake,Let Me Love You,7
127,0lsRatBUs9HNIZAmoGABzk,3,SHAED,Trampoline,84
128,0mt02gJ425Xjm7c3jYkOBn,1,Lana Del Rey,Lust For Life,64
129,0nhVrTiCGiGRCoZOJiWzm1,1,"Migos, Marshmello",Danger,82
130,0oPdaY4dXtc3ZsaG17V972,4,Jose Feliciano,Feliz Navidad,29
131,0oagwWkGlBoACUuKvTmqZV,1,P!nk,A Million Dreams,90
132,0oiCeOPwm4zhwfyIpAE37y,1,John Mayer,Love On The Weekend,91
133,0pCgobQDYedY2NwByGrlWf,4,Zac Brown Band,My Old Man,68
134,0pGXe7umwkcCm01Ipoxp0U,16,Maren Morris,GIRL,59
135,0pJPdSVti6cTM1Q6xYGmcf,4,Calvin Harris,Faking It,94
136,0pSBuHjILhNEo55xK1zrRt,25,"Ayo, Teo",Rolex,20
137,0pqnGHJpmpxLKifKRmU6WP,51,Imagine Dragons,Believer,4
138,0prNGof3XqfTvNDxHonvdK,27,Alessia Cara,Scars To Your Beautiful,8
139,0pwdJLLVxlJa1lnR9UeMZY,1,P!nk,Love Me Anyway,96
140,0q5DrtpnnGpOvBy5nnPMbe,4,A Boogie Wit da Hoodie,Timeless,86
141,0q75NwOoFiARAVp4EXU4Bs,20,SZA,Love Galore,32
142,0qkdE1C0ufnUISKwhg8Wh6,1,Lady Antebellum,What If I Never Get Over You,86
143,0qvzXomUDJVaUboy2wMfiS,10,Niall Horan,This Town,20
144,0rKtyWc8bvkriBthvHKY8d,1,Joji,Slow Dancing In The Dark,96
145,0rOLFkjY5DSIViVBNnzOuK,1,Joji,Sanctuary,80
146,0s6OWiWGuiCcm1Muzch5A8,14,Chris Janson,Fix A Drink,67
147,0sdbFOyfgAhAhWq8DpzkaW,2,Ariana Grande,The Light Is Coming,89
148,0stPNUkU1LZnvxIcfrKnEZ,3,Carrie Underwood,The Champion,47
149,0tBbt8CrmxbjRP0pueQkyU,22,"Selena Gomez, Marshmello",Wolves,20
150,0tMSssfxAL2oV8Vri0mFHE,1,Billie Eilish,Listen Before I Go,63
151,0tYHqwTW4s6VuPWDSD7n7K,8,6ix9ine,Kooda,50
152,0tdCy39PgWN8LFWu34ORn3,3,"21 Savage, Offset, Metro Boomin",Rap Saved Me,64
153,0tgVpDi06FyKpA1z0VMD4v,56,Ed Sheeran,Perfect,1
154,0u2P5u6lvoDfwTYjAADbn4,22,"Billie Eilish, Khalid",Lovely,64
155,0ubdf6zWT1It2saK41SkO0,1,Lil Wayne,Problems,57
156,0utlOiJy2weVl9WTkcEWHy,5,J. Cole,Neighbors,54
157,0vrmHPfoBadXVr2n0m1aqZ,1,Avicii,Heaven,83
158,0w3Q14i073jLoew1hgJkwD,18,Jon Pardi,Heartache On The Dance Floor,47
159,0w5Bdu51Ka25Pf3hojsKHh,1,Paramore,Hard Times,90
