artists_ids,artists_names,made_charts,track_album_name,track_album_release_date,track_art_url,track_id,track_name,track_preview_url,num_faces
"['0YWxKQj2Go9CGHCp77UOyy', '3nFkdlSjzX9mRTtwJOzDYB', '3kortApcf0ntRWexUkJE4H']","['Fabolous', 'JAY-Z', 'Uncle Murda']",0.0,From Nothin' To Somethin' (Bonus Track Version),2007-01-01,https://i.scdn.co/image/ab67616d0000b2730257cdc367bb5b3f41eb949f,15JcuP88qRbQ2nQmbzYtRX,Brooklyn,,
['0p4ViyfJUTW0IT4SCBLexf'],['Drakeo the Ruler'],0.0,So Cold I Do Em,2017-04-07,https://i.scdn.co/image/ab67616d0000b273e9acbd692f7b5b88a60fc937,6PmkAsDBfVq0wImd88RCLb,A Fan,https://p.scdn.co/mp3-preview/edf0b5e2c8bd719a133c4901a1d2c1989fb39ce5?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
['6vWDO969PvNqNYHIOW5v0m'],['Beyoncé'],0.0,I AM...SASHA FIERCE - Platinum Edition,2008,https://i.scdn.co/image/ab67616d0000b273b4c5982e1b92f97a126fc18c,557un1HgwYMuqfWGSTmnxw,Single Ladies (Put a Ring on It),https://p.scdn.co/mp3-preview/e6ad86113a965cae6790b4b209a021690616c99a?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
"['6i392l38cR3uBPF0DbNs7S', '0VRj0yCOv2FXJNP47XQnx5', '6icQOAFXDZKsumw3YXyusw']","['Quality Control', 'Quavo', 'Lil Yachty']",1.0,Quality Control: Control The Streets Volume 1,2017-12-08,https://i.scdn.co/image/ab67616d0000b273e540272ec3db0c1cdf517f5b,3wdfLVUhmX64lIyWIIEW8s,Ice Tray,,
['31TPClRtHm23RisEBtV3X7'],['Justin Timberlake'],0.0,Justified,2002-11-04,https://i.scdn.co/image/ab67616d0000b273346a5742374ab4cf9ed32dee,7Lf7oSEVdzZqTA0kEDSlS5,Cry Me a River,https://p.scdn.co/mp3-preview/0e2f07ca487e1f5020547ee64f95662fca2a75ef?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
['7Aq8lpLMSt1Zxu56pe9bmp'],['Jagged Edge'],0.0,J.E. Heartbreak,2000-01-18,https://i.scdn.co/image/ab67616d0000b273063541784bc7b024017cee8a,3VEZvzr84WVnoorZ4tlBSw,He Can't Love U,https://p.scdn.co/mp3-preview/886a89a2b6f626120a5541d413c4539318f9944c?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
['5y2Xq6xcjJb2jVM54GHK3t'],['John Legend'],0.0,Get Lifted,2005-12-06,https://i.scdn.co/image/ab67616d0000b27330fd5c0c49d9c1913e7eb38b,3LseNcp6UMRfQAyuzs5RlV,Prelude,https://p.scdn.co/mp3-preview/85e998fa7f475fe92b04cb7422d08470f08d8f11?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
['3nFkdlSjzX9mRTtwJOzDYB'],['JAY-Z'],0.0,The Black Album,2003-11-14,https://i.scdn.co/image/ab67616d0000b273c528802c308a1e0e4d9945dd,3IrkbGQCoEPAkzJ0Tkv8nm,Dirt Off Your Shoulder,,
['3X458ddYA2YcVWuVIGGOYe'],['Toni Braxton'],0.0,The Heat,2000,https://i.scdn.co/image/ab67616d0000b2734db76afe73b6b666bcd6a232,7f1Dmr246cJ9uQYdbplTbh,He Wasn't Man Enough,https://p.scdn.co/mp3-preview/fed45e28b15231bc98e48d3ed96cf6194ac2f549?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
['4jWGfUCFeTu5e0wprRhHXR'],['Big Tymers'],0.0,Hood Rich,2002-01-01,https://i.scdn.co/image/ab67616d0000b273fc062563e34cfd4ab2bc0f00,563vSy3HB5NHxel1VGQCW6,Still Fly,,
['6AVLthptCPhfrxlHadOBJD'],['Jill Scott'],0.0,"Who Is Jill Scott? - Words and Sounds, Vol. 1",2000-07-18,https://i.scdn.co/image/ab67616d0000b273b74ec6a6789c65f56dafafc3,49aUxrufliNDGj7MTm7pNU,The Way,,
['1HwM5zlC5qNWhJtM00yXzG'],['DMX'],0.0,...And Then There Was X,1999-12-21,https://i.scdn.co/image/ab67616d0000b273581d9fcb8a2e6d600d59b819,0LWkaEyQRkF0XAms8Bg1fC,Party Up,,
"['4L3GTE04bW5N7azA9QPhjA', '7aBzpmFXB4WWpPl2F7RjBe']","['Beenie Man', 'Wyclef Jean']",0.0,Art And Life,2000-01-01,https://i.scdn.co/image/ab67616d0000b273cf2345cb5d3eda41df52d0ce,0x9etknOh8k5RA1NXAxjx4,Love Me Now,,
"['1RyvyyTE3xzB2ZywiAwp0i', '3TVXtAsR1Inumwj472S9r4']","['Future', 'Drake']",0.0,DS2 (Deluxe),2015-07-17,https://i.scdn.co/image/ab67616d0000b273b2592bea12d840fd096ef965,5nN8BwAQDJDguq7Dpd3JQQ,Where Ya At (feat. Drake),https://p.scdn.co/mp3-preview/c1e55fccdd81935c9aecdcf1c7677ed8e87f06aa?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
"['5K4W6rqBFWDnAN6FQUkS6x', '5y2Xq6xcjJb2jVM54GHK3t']","['Kanye West', 'John Legend']",0.0,My Beautiful Dark Twisted Fantasy,2010-11-22,https://i.scdn.co/image/ab67616d0000b273d9194aa18fa4c9362b47464f,4EndPA8b6FDWYp1RgsnLEB,Blame Game,,
['6nzxy2wXs6tLgzEtqOkEi2'],['Monica'],0.0,After The Storm,2003,https://i.scdn.co/image/ab67616d0000b2730cfb7f6743c0742761edf377,6BIcjFZIVDZxNAcofRFPx4,So Gone,https://p.scdn.co/mp3-preview/e7beb57a931042856416cebdc5ad88bd9bd0a3c4?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
"['6Ha4aES39QiVjR0L2lwuwq', '0hCNtLu0JehylgoiP8L4Gh']","['Yo Gotti', 'Nicki Minaj']",1.0,I Still Am,2017-10-27,https://i.scdn.co/image/ab67616d0000b2732cc72b6f465812679b803638,4knL4iPxPOZjQzTUlELGSY,Rake It Up (feat. Nicki Minaj),https://p.scdn.co/mp3-preview/38cc2e650376ae1a606ce952ad21a44dc73d8674?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
